context,question,answer
"Điều 51 Luật Doanh nghiệp 2020 quy định: Công ty cổ phần phải có Hội đồng quản trị, Ban kiểm soát hoặc Kiểm soát viên, trừ trường hợp công ty cổ phần có dưới 11 cổ đông và cổ đông là tổ chức sở hữu dưới 50% tổng số cổ phần.","Công ty cổ phần phải có cơ quan nào theo Điều 51 Luật Doanh nghiệp 2020?","Công ty cổ phần phải có Hội đồng quản trị, Ban kiểm soát hoặc Kiểm soát viên, trừ trường hợp có dưới 11 cổ đông và cổ đông tổ chức sở hữu dưới 50% cổ phần."
"Điều 52 Luật Doanh nghiệp 2020 quy định: Cổ đông công ty cổ phần có quyền chuyển nhượng cổ phần, trừ trường hợp điều lệ công ty hạn chế hoặc cổ phần ưu đãi biểu quyết.","Cổ đông công ty cổ phần có quyền gì theo Điều 52 Luật Doanh nghiệp 2020?","Cổ đông có quyền chuyển nhượng cổ phần, trừ khi điều lệ công ty hạn chế hoặc cổ phần ưu đãi biểu quyết."
"Điều 53 Luật Doanh nghiệp 2020 quy định: Cổ đông phổ thông có quyền biểu quyết tại Đại hội đồng cổ đông, đề cử người vào Hội đồng quản trị hoặc Ban kiểm soát.","Cổ đông phổ thông có quyền gì theo Điều 53 Luật Doanh nghiệp 2020?","Cổ đông phổ thông có quyền biểu quyết tại Đại hội đồng cổ đông, đề cử người vào Hội đồng quản trị-Số lượng: 50
"Điều 54 Luật Doanh nghiệp 2020 quy định: Cổ đông hoặc nhóm cổ đông sở hữu từ 5% tổng số cổ phần trở lên có quyền yêu cầu triệu tập Đại hội đồng cổ đông trong trường hợp đặc biệt.","Ai có quyền yêu cầu triệu tập Đại hội đồng cổ đông theo Điều 54 Luật Doanh nghiệp 2020?","Cổ đông hoặc nhóm cổ đông sở hữu từ 5% tổng số cổ phần trở lên có quyền yêu cầu triệu tập Đại hội đồng cổ đông."
"Điều 55 Luật Doanh nghiệp 2020 quy định: Công ty cổ phần phải tổ chức Đại hội đồng cổ đông thường niên trong thời hạn 4 tháng kể từ ngày kết thúc năm tài chính.","Thời hạn tổ chức Đại hội đồng cổ đông thường niên là bao lâu theo Điều 55 Luật Doanh nghiệp 2020?","Công ty cổ phần phải tổ chức Đại hội đồng cổ đông thường niên trong 4 tháng kể từ ngày kết thúc năm tài chính."
"Điều 56 Luật Doanh nghiệp 2020 quy định: Đại hội đồng cổ đông có quyền quyết định các vấn đề quan trọng như sửa đổi điều lệ, tổ chức lại, giải thể công ty, hoặc phân phối lợi nhuận.","Đại hội đồng cổ đông có quyền quyết định những vấn đề gì theo Điều 56 Luật Doanh nghiệp 2020?","Đại hội đồng cổ đông quyết định sửa đổi điều lệ, tổ chức lại, giải thể công ty, hoặc phân phối lợi nhuận."
"Điều 57 Luật Doanh nghiệp 2020 quy định: Hội đồng quản trị có quyền quyết định các vấn đề không thuộc thẩm quyền của Đại hội đồng cổ đông.","Hội đồng quản trị có quyền gì theo Điều 57 Luật Doanh nghiệp 2020?","Hội đồng quản trị quyết định các vấn đề không thuộc thẩm quyền của Đại hội đồng cổ đông."
"Điều 58 Luật Doanh nghiệp 2020 quy định: Hội đồng quản trị phải có từ 3 đến 11 thành viên, do Đại hội đồng cổ đông bầu.","Hội đồng quản trị có bao nhiêu thành viên theo Điều 58 Luật Doanh nghiệp 2020?","Hội đồng quản trị có từ 3 đến 11 thành viên, do Đại hội đồng cổ đông bầu."
"Điều 59 Luật Doanh nghiệp 2020 quy định: Thành viên Hội đồng quản trị phải có trình độ chuyên môn, kinh nghiệm quản lý và không được đồng thời là thành viên Hội đồng quản trị ở quá nhiều công ty khác.","Thành viên Hội đồng quản trị phải đáp ứng điều kiện gì theo Điều 59 Luật Doanh nghiệp 2020?","Thành viên Hội đồng quản trị phải có trình độ chuyên môn, kinh nghiệm quản lý và không được là thành viên Hội đồng quản trị ở quá nhiều công ty khác."
"Điều 60 Luật Doanh nghiệp 2020 quy định: Chủ tịch Hội đồng quản trị do Hội đồng quản trị bầu, có thể kiêm nhiệm chức danh Giám đốc hoặc Tổng giám đốc nếu được Đại hội đồng cổ đông chấp thuận.","Ai bầu Chủ tịch Hội đồng quản trị theo Điều 60 Luật Doanh nghiệp 2020?","Chủ tịch Hội đồng quản trị do Hội đồng quản trị bầu."
"Điều 61 Luật Doanh nghiệp 2020 quy định: Hội đồng quản trị họp ít nhất mỗi quý một lần và phải có biên bản họp.","Hội đồng quản trị họp bao lâu một lần theo Điều 61 Luật Doanh nghiệp 2020?","Hội đồng quản trị họp ít nhất mỗi quý một lần và phải có biên bản họp."
