context,question,answer
"Điều 201 Bộ luật Hình sự 2015 quy định: Tội cản trở giao thông đường bộ là hành vi cản trở giao thông đường bộ gây hậu quả nghiêm trọng hoặc làm mất an toàn giao thông.","Tội cản trở giao thông đường bộ là gì theo Điều 201?","Tội cản trở giao thông đường bộ là hành vi cản trở giao thông đường bộ gây hậu quả nghiêm trọng hoặc làm mất an toàn giao thông."
"Điều 202 Bộ luật Hình sự 2015 quy định: Tội vi phạm quy định về điều khiển tàu thuyền trên đường thủy nội địa là hành vi vi phạm quy định về điều khiển tàu thuyền gây hậu quả nghiêm trọng.","Tội vi phạm quy định về điều khiển tàu thuyền là gì theo Điều 202?","Tội vi phạm quy định về điều khiển tàu thuyền là hành vi vi phạm quy định về điều khiển tàu thuyền gây hậu quả nghiêm trọng."
"Điều 203 Bộ luật Hình sự 2015 quy định: Tội vi phạm quy định về điều khiển phương tiện hàng không là hành vi vi phạm quy định về điều khiển phương tiện hàng không gây hậu quả nghiêm trọng.","Tội vi phạm quy định về điều khiển phương tiện hàng không là gì theo Điều 203?","Tội vi phạm quy định về điều khiển phương tiện hàng không là hành vi vi phạm quy định về điều khiển phương tiện hàng không gây hậu quả nghiêm trọng."
"Điều 204 Bộ luật Hình sự 2015 quy định: Tội vi phạm quy định về bảo dưỡng, sửa chữa phương tiện giao thông là hành vi vi phạm quy định về bảo dưỡng, sửa chữa phương tiện giao thông gây hậu quả nghiêm trọng.","Tội vi phạm quy định về bảo dưỡng phương tiện giao thông là gì theo Điều 204?","Tội vi phạm quy định về bảo dưỡng phương tiện giao thông là hành vi vi phạm quy định về bảo dưỡng, sửa chữa phương tiện giao thông gây hậu quả nghiêm trọng."
"Điều 205 Bộ luật Hình sự 2015 quy định: Tội tổ chức, môi giới cho người khác xuất cảnh, nhập cảnh hoặc ở lại Việt Nam trái phép là hành vi tổ chức hoặc môi giới cho người khác thực hiện hành vi xuất nhập cảnh trái phép.","Tội tổ chức, môi giới xuất nhập cảnh trái phép là gì theo Điều 205?","Tội tổ chức, môi giới xuất nhập cảnh trái phép là hành vi tổ chức hoặc môi giới cho người khác xuất cảnh, nhập cảnh hoặc ở lại Việt Nam trái phép."
"Điều 206 Bộ luật Hình sự 2015 quy định: Tội xuất cảnh, nhập cảnh trái phép là hành vi xuất cảnh, nhập cảnh hoặc ở lại Việt Nam trái với quy định của pháp luật.","Tội xuất cảnh, nhập cảnh trái phép là gì theo Điều 206?","Tội xuất cảnh, nhập cảnh trái phép là hành vi xuất cảnh, nhập cảnh hoặc ở lại Việt Nam trái với quy định của pháp luật."
"Điều 207 Bộ luật Hình sự 2015 quy định: Tội vi phạm quy định về quản lý xuất nhập cảnh là hành vi vi phạm quy định của Nhà nước về quản lý xuất nhập cảnh gây hậu quả nghiêm trọng.","Tội vi phạm quy định về quản lý xuất nhập cảnh là gì theo Điều 207?","Tội vi phạm quy định về quản lý xuất nhập cảnh là hành vi vi phạm quy định của Nhà nước về quản lý xuất nhập cảnh gây hậu quả nghiêm trọng."
"Điều 208 Bộ luật Hình sự 2015 quy định: Tội vi phạm quy định về sử dụng vũ khí, vật liệu nổ, công cụ hỗ trợ là hành vi sử dụng vũ khí, vật liệu nổ, công cụ hỗ trợ trái với quy định của pháp luật.","Tội vi phạm quy định về sử dụng vũ khí, vật liệu nổ là gì theo Điều 208?","Tội vi phạm quy định về sử dụng vũ khí, vật liệu nổ là hành vi sử dụng vũ khí, vật liệu nổ, công cụ hỗ trợ trái với quy định của pháp luật."
"Điều 209 Bộ luật Hình sự 2015 quy định: Tội sản xuất, tàng trữ, vận chuyển, sử dụng, mua bán trái phép vũ khí quân dụng, súng săn là hành vi thực hiện các hành vi này với vũ khí quân dụng, súng săn trái phép.","Tội sản xuất, tàng trữ vũ khí quân dụng trái phép là gì theo Điều 209?","Tội sản xuất, tàng trữ vũ khí quân dụng trái phép là hành vi sản xuất, tàng trữ, vận chuyển, sử dụng, mua bán trái phép vũ khí quân dụng, súng săn."
"Điều 210 Bộ luật Hình sự 2015 quy định: Tội sản xuất, tàng trữ, vận chuyển, mua bán trái phép vật liệu nổ là hành vi thực hiện các hành vi này với vật liệu nổ trái phép.","Tội sản xuất, tàng trữ vật liệu nổ trái phép là gì theo Điều 210?","Tội sản xuất, tàng trữ vật liệu nổ trái phép là hành vi sản xuất, tàng trữ, vận chuyển, mua bán trái phép vật liệu nổ."
