context,question,answer
"Điều 101 Bộ luật Dân sự 2015 quy định: Pháp nhân là một tổ chức được thành lập hợp pháp, có cơ cấu tổ chức theo quy định, có tài sản độc lập và tự chịu trách nhiệm, nhân danh mình tham gia quan hệ pháp luật dân sự một cách độc lập.","Theo Bộ luật Dân sự 2015, pháp nhân là gì?","Pháp nhân là tổ chức được thành lập hợp pháp, có cơ cấu tổ chức, tài sản độc lập, tự chịu trách nhiệm và tham gia quan hệ pháp luật dân sự độc lập."
"Điều 102 Bộ luật Dân sự 2015 quy định: Pháp nhân có năng lực pháp luật dân sự, trừ trường hợp pháp luật có quy định khác. Năng lực pháp luật dân sự của pháp nhân tồn tại trong suốt thời gian pháp nhân tồn tại.","Pháp nhân có năng lực pháp luật dân sự trong thời gian nào theo Bộ luật Dân sự 2015?","Pháp nhân có năng lực pháp luật dân sự trong suốt thời gian tồn tại, trừ trường hợp pháp luật quy định khác."
"Điều 103 Bộ luật Dân sự 2015 quy định: Pháp nhân có năng lực hành vi dân sự phù hợp với mục đích hoạt động được quy định trong điều lệ hoặc quy định của pháp luật.","Năng lực hành vi dân sự của pháp nhân được xác định như thế nào theo Bộ luật Dân sự 2015?","Năng lực hành vi dân sự của pháp nhân phù hợp với mục đích hoạt động trong điều lệ hoặc quy định của pháp luật."
"Điều 104 Bộ luật Dân sự 2015 quy định: Pháp nhân chịu trách nhiệm dân sự đối với mọi hành vi do người đại diện hợp pháp của mình thực hiện nhân danh pháp nhân, trừ trường hợp pháp luật có quy định khác.","Ai chịu trách nhiệm dân sự đối với hành vi của người đại diện hợp pháp của pháp nhân theo Bộ luật Dân sự 2015?","Pháp nhân chịu trách nhiệm dân sự đối với hành vi của người đại diện hợp pháp, trừ trường hợp pháp luật quy định khác."
"Điều 105 Bộ luật Dân sự 2015 quy định: Pháp nhân phải chịu trách nhiệm dân sự đối với thiệt hại do thành viên, người lao động hoặc người đại diện của mình gây ra trong khi thực hiện nhiệm vụ được giao.","Pháp nhân chịu trách nhiệm dân sự trong trường hợp nào theo Điều 105 Bộ luật Dân sự 2015?","Pháp nhân chịu trách nhiệm dân sự đối với thiệt hại do thành viên, người lao động hoặc người đại diện gây ra khi thực hiện nhiệm vụ được giao."
"Điều 106 Bộ luật Dân sự 2015 quy định: Pháp nhân có tên gọi riêng, được xác định theo quy định của pháp luật hoặc điều lệ của pháp nhân.","Tên gọi của pháp nhân được xác định như thế nào theo Bộ luật Dân sự 2015?","Tên gọi của pháp nhân được xác định theo quy định của pháp luật hoặc điều lệ của pháp nhân."
"Điều 107 Bộ luật Dân sự 2015 quy định: Trụ sở của pháp nhân là nơi đặt cơ quan điều hành của pháp nhân, được xác định theo địa chỉ ghi trong giấy đăng ký hoặc điều lệ của pháp nhân.","Trụ sở của pháp nhân được xác định như thế nào theo Bộ luật Dân sự 2015?","Trụ sở của pháp nhân là nơi đặt cơ quan điều hành, xác định theo địa chỉ trong giấy đăng ký hoặc điều lệ."
"Điều 108 Bộ luật Dân sự 2015 quy định: Quốc tịch của pháp nhân được xác định theo pháp luật của nước nơi pháp nhân được thành lập.","Quốc tịch của pháp nhân được xác định dựa trên cơ sở nào theo Bộ luật Dân sự 2015?","Quốc tịch của pháp nhân được xác định theo pháp luật của nước nơi pháp nhân được thành lập."
"Điều 109 Bộ luật Dân sự 2015 quy định: Tài sản của pháp nhân bao gồm vốn góp của chủ sở hữu, thành viên, sáng lập viên và tài sản khác mà pháp nhân được xác lập quyền sở hữu theo quy định của pháp luật.","Tài sản của pháp nhân bao gồm những gì theo Điều 109 Bộ luật Dân sự 2015?","Tài sản của pháp nhân bao gồm vốn góp của chủ sở hữu, thành viên, sáng lập viên và tài sản khác được xác lập quyền sở hữu theo pháp luật."
"Điều 110 Bộ luật Dân sự 2015 quy định: Pháp nhân được thành lập theo sáng kiến của cá nhân, pháp nhân hoặc theo quyết định của cơ quan nhà nước có thẩm quyền.","Pháp nhân có thể được thành lập theo cách nào theo Bộ luật Dân sự 2015?","Pháp nhân được thành lập theo sáng kiến của cá nhân, pháp nhân hoặc quyết định của cơ quan nhà nước có thẩm quyền."
"Điều 111 Bộ luật Dân sự 2015 quy định: Việc đăng ký pháp nhân bao gồm đăng ký thành lập, đăng ký thay đổi và các đăng ký khác theo quy định của pháp luật.","Việc đăng ký pháp nhân bao gồm những nội dung nào theo Điều 111 Bộ luật Dân sự 2015?","Đăng ký pháp nhân bao gồm đăng ký thành lập, đăng ký thay đổi và các đăng ký khác theo quy định của pháp luật."
"Điều 112 Bộ luật Dân sự 2015 quy định: Pháp nhân phải có cơ quan điều hành, được tổ chức và hoạt động theo quy định của pháp luật hoặc điều lệ của pháp nhân.","Cơ quan điều hành của pháp nhân được tổ chức như thế nào theo Bộ luật Dân sự 2015?","Cơ quan điều hành của pháp nhân được tổ chức và hoạt động theo quy định của pháp luật hoặc điều lệ của pháp nhân."
"Điều 113 Bộ luật Dân sự 2015 quy định: Pháp nhân chấm dứt tồn tại khi giải thể hoặc phá sản theo quy định của pháp luật.","Pháp nhân chấm dứt tồn tại trong trường hợp nào theo Điều 113 Bộ luật Dân sự 2015?","Pháp nhân chấm dứt tồn tại khi giải thể hoặc phá sản theo quy định của pháp luật."
