context,question,answer
"Điều 451 Bộ luật Dân sự 2015 quy định: Hợp đồng mua bán tài sản là hợp đồng mà bên bán có nghĩa vụ giao tài sản, chuyển quyền sở hữu tài sản cho bên mua, còn bên mua có nghĩa vụ nhận tài sản và thanh toán tiền cho bên bán.","Hợp đồng mua bán tài sản được định nghĩa như thế nào theo Điều 451?","Hợp đồng mua bán tài sản là hợp đồng mà bên bán giao tài sản, chuyển quyền sở hữu, còn bên mua nhận tài sản và thanh toán tiền."
"Điều 452 Bộ luật Dân sự 2015 quy định: Tài sản mua bán phải là tài sản mà pháp luật không cấm mua bán.","Tài sản mua bán phải đáp ứng điều kiện gì theo Điều 452?","Tài sản mua bán phải là tài sản mà pháp luật không cấm mua bán."
"Điều 453 Bộ luật Dân sự 2015 quy định: Bên bán phải bảo đảm tài sản bán không có tranh chấp về quyền sở hữu, không bị kê biên để bảo đảm thi hành án hoặc bị hạn chế chuyển nhượng theo quy định của pháp luật.","Bên bán phải bảo đảm điều gì về tài sản bán theo Điều 453?","Bên bán phải bảo đảm tài sản bán không có tranh chấp về quyền sở hữu, không bị kê biên hoặc hạn chế chuyển nhượng."
"Điều 454 Bộ luật Dân sự 2015 quy định: Bên bán có nghĩa vụ giao tài sản đúng số lượng, chất lượng, chủng loại, thời điểm, địa điểm như đã thỏa thuận và chịu trách nhiệm về khuyết tật của tài sản.","Nghĩa vụ của bên bán trong hợp đồng mua bán tài sản là gì theo Điều 454?","Bên bán phải giao tài sản đúng số lượng, chất lượng, chủng loại, thời điểm, địa điểm như thỏa thuận và chịu trách nhiệm về khuyết tật."
"Điều 455 Bộ luật Dân sự 2015 quy định: Bên mua có nghĩa vụ thanh toán tiền đúng số tiền, thời điểm, địa điểm và phương thức như đã thỏa thuận.","Nghĩa vụ của bên mua trong hợp đồng mua bán tài sản là gì theo Điều 455?","Bên mua phải thanh toán tiền đúng số tiền, thời điểm, địa điểm và phương thức như đã thỏa thuận."
"Điều 456 Bộ luật Dân sự 2015 quy định: Trừ trường hợp pháp luật có quy định khác, quyền sở hữu tài sản chuyển từ bên bán sang bên mua kể từ thời điểm giao tài sản.","Quyền sở hữu tài sản chuyển từ bên bán sang bên mua khi nào theo Điều 456?","Quyền sở hữu tài sản chuyển từ bên bán sang bên mua kể từ thời điểm giao tài sản, trừ khi pháp luật có quy định khác."
"Điều 457 Bộ luật Dân sự 2015 quy định: Hợp đồng mua bán tài sản phải được lập thành văn bản nếu pháp luật quy định hoặc các bên thỏa thuận.","Hình thức của hợp đồng mua bán tài sản được quy định như thế nào theo Điều 457?","Hợp đồng mua bán tài sản phải được lập thành văn bản nếu pháp luật quy định hoặc các bên thỏa thuận."
"Điều 458 Bộ luật Dân sự 2015 quy định: Bên bán chịu mọi chi phí liên quan đến việc giao tài sản, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác.","Ai chịu chi phí giao tài sản trong hợp đồng mua bán theo Điều 458?","Bên bán chịu chi phí giao tài sản, trừ khi có thỏa thuận hoặc pháp luật quy định khác."
"Điều 459 Bộ luật Dân sự 2015 quy định: Bên mua chịu chi phí nhận tài sản, trừ trường hợp có thỏa thuận khác hoặc pháp luật có quy định khác.","Ai chịu chi phí nhận tài sản trong hợp đồng mua bán theo Điều 459?","Bên mua chịu chi phí nhận tài sản, trừ khi có thỏa thuận hoặc pháp luật quy định khác."
"Điều 460 Bộ luật Dân sự 2015 quy định: Bên bán chịu rủi ro về tài sản cho đến khi tài sản được giao cho bên mua, trừ trường hợp có thỏa thuận khác.","Ai chịu rủi ro về tài sản trước khi giao trong hợp đồng mua bán theo Điều 460?","Bên bán chịu rủi ro về tài sản cho đến khi tài sản được giao, trừ khi có thỏa thuận khác."
"Điều 461 Bộ luật Dân sự 2015 quy định: Bên mua chịu rủi ro về tài sản kể từ khi nhận tài sản, trừ trường hợp có thỏa thuận khác.","Ai chịu rủi ro về tài sản sau khi nhận trong hợp đồng mua bán theo Điều 461?","Bên mua chịu rủi ro về tài sản kể từ khi nhận tài sản, trừ khi có thỏa thuận khác."
"Điều 462 Bộ luật Dân sự 2015 quy định: Bên bán phải bảo đảm tài sản bán không có khuyết tật, trừ trường hợp bên mua biết và chấp nhận khuyết tật đó.","Bên bán phải bảo đảm điều gì về khuyết tật của tài sản theo Điều 462?","Bên bán phải bảo đảm tài sản bán không có khuyết tật, trừ khi bên mua biết và chấp nhận khuyết tật."
"Điều 463 Bộ luật Dân sự 2015 quy định: Khuyết tật của tài sản là tình trạng tài sản không phù hợp với công dụng thông thường hoặc mục đích sử dụng mà các bên đã thỏa thuận.","Khuyết tật của tài sản được định nghĩa như thế nào theo Điều 463?","Khuyết tật của tài sản là tình trạng tài sản không phù hợp với công dụng thông thường hoặc mục đích sử dụng đã thỏa thuận."
